,index,品牌,時間,平均星等數,總評論數,數量,留言總讚數,讚數最多留言內容,讚數最多留言發布時間,label,前年留言情緒(YoY),當期留言情緒,前期留言情緒(MoM),負評項目
0,72,高雄大碩‧百官網公職,2023-01-01 ~ 2023-01-31,5.0,1,59,0,-,-,0,負面:1 ,正面:1 ,,無負向
1,97,台中大碩‧龍門,2023-01-01 ~ 2023-01-31,5.0,1,119,0,-,-,0,正面:1 ,正面:1 ,,無負向
2,4,高雄大碩,2023-01-01 ~ 2023-01-31,5.0,4,220,0,-,-,0,無留言:1 ,正面:4 ,正面:12 中性:5 ,師
3,52,台南大碩,2023-01-01 ~ 2023-01-31,5.0,10,343,0,-,-,0,正面:28 ,正面:9 中性:1 ,正面:9 中性:1 ,無負向
4,17,新竹大碩,2023-01-01 ~ 2023-01-31,5.0,8,282,0,-,-,0,無留言:3 正面:1 ,正面:6 中性:2 ,中性:6 ,無負向
5,16,台北大碩,2023-01-01 ~ 2023-01-31,4.56,18,627,13,"我當初選擇大碩，第一個要大推的是庭瑀aka大碩朴寶英，非常細心且耐心的跟我說大碩的機制，以及考研課程的規劃，而且當我遇到課堂問題或是碰到行政上的困難時，她都能第一時間幫助到我，也幫我加油打氣，讓我更有自信。
第二個要推的是歐大亮老師，老師不僅僅在我準備考研的這段時間，給予我工數上的幫助，也常常關心我的心理狀態，在我心情低落時，督促我要堅持下去，老師犧牲了自己時間，來提供相當多的資源來幫助我們，讓學習工數更加多元化。
第三個要推的是劉承老師，老師常常會分享實務上的應用，讓我們知道這個電路延伸是做什麼的，帶領我們一步一步分析電路，讓整個計算變成淺顯易懂。
補習首選大碩，請找庭瑀aka大碩朴寶英！",2023-01-19,0,負面:3 ,正面:14 中性:2 負面:2 ,中性:1 正面:1 ,態度
6,63,台中大碩,2023-01-01 ~ 2023-01-31,4.67,3,197,1,負責人有求必應ჱ(ᐙ*)煜沛超讚ჱ(ᐙ*),2023-01-16,0,正面:1 ,正面:3 ,正面:3 ,無負向
7,12,中正偉文,2023-01-01 ~ 2023-01-31,5.0,2,201,1,感謝中正偉文讓我可以對於主科有更深的了解，讓我可以無後故之憂的進行推甄,2023-01-07,1,,正面:2 ,正面:10 中性:1 ,無負向
8,51,高點網路學院中正班,2023-01-01 ~ 2023-01-31,5.0,1,113,0,-,-,2,正面:2 無留言:1 負面:1 ,正面:1 ,正面:3 ,無負向
9,3,高點文教機構,2023-01-01 ~ 2023-01-31,5.0,1,522,0,-,-,2,正面:1 ,中性:1 ,中性:2 正面:2 負面:1 ,-
10,47,台中市私立高點文理短期補習班,2023-01-01 ~ 2023-01-31,1.0,3,57,1,"傲慢的補習班，櫃檯態度不佳，只想收錢不想協助學生考上…..
只覺得收完錢就把學生踢在一邊",2023-01-18,2,無留言:1 負面:1 ,負面:3 ,,服務態度、 櫃檯、 態度
11,45,台中市私立高點文理短期補習班逢甲分班,2023-01-01 ~ 2023-01-31,3.0,2,18,2,"最近剛報名研究所跟國考的課程
上課跟有問題可以來逢甲班不用跑到火車站
講義可以在賴裡預約好再來領
挺方便的～
雖然真的蠻小的不像車站那裡那麼高級
但服務沒有評論講得那麼糟
（可能被罵完改善？😂

加油～推一個逢甲服務的姊姊人很好
講解的很仔細，有時還會順便幫我送講義到學校XD",2023-01-08,2,,負面:2 ,中性:1 ,服務
12,44,高點建國網路學院,2023-01-01 ~ 2023-01-31,5.0,10,80,0,-,-,2,,中性:5 正面:5 ,正面:6 中性:2 ,無負向
13,68,台南高點建國補習班,2023-01-01 ~ 2023-01-31,1.0,1,225,0,-,-,2,,負面:1 ,負面:2 ,專員態度
14,71,高雄數位學堂,2023-01-01 ~ 2023-01-31,5.0,4,126,0,-,-,3,,正面:4 ,中性:1 ,無負向
15,70,TKB壽豐數位學堂,2023-01-01 ~ 2023-01-31,5.0,4,106,0,-,-,3,正面:3 無留言:2 ,正面:3 中性:1 ,中性:11 正面:4 ,無負向
16,54,壽豐數位學堂/花蓮雲端學習門市,2023-01-01 ~ 2023-01-31,5.0,9,96,0,-,-,3,無留言:3 正面:2 ,正面:9 ,正面:10 中性:6 負面:1 ,無負向
17,59,新莊中正數位學堂,2023-01-01 ~ 2023-01-31,5.0,8,138,0,-,-,3,正面:1 ,正面:8 ,,無負向
18,26,斗六數位學堂,2023-01-01 ~ 2023-01-31,5.0,6,314,0,-,-,3,正面:1 ,正面:4 中性:2 ,正面:10 中性:2 ,無負向
19,42,楠梓數位學堂,2023-01-01 ~ 2023-01-31,5.0,9,116,3,"上完TKB課程讓我感覺到的優點
（1）課程師資豐富（超多名師），選擇性多元
（2）行政人員超有耐心的講解投考組合
（3）上課時間很有彈性，想要上課時候可以隨時上課",2023-01-17,3,,正面:8 中性:1 ,,價位
20,43,台中數位學堂,2023-01-01 ~ 2023-01-31,5.0,16,393,1,諮詢過程中，小P主任很耐心專業的介紹課程，很棒，謝謝。,2023-01-31,3,正面:9 無留言:3 ,正面:15 中性:1 ,正面:1 ,無負向
21,48,台北數位學堂,2023-01-01 ~ 2023-01-31,1.0,1,230,1,不知道櫃台小姐學歷怎麼樣,2023-01-10,3,正面:2 中性:1 ,負面:1 ,正面:3 ,櫃台
22,60,民雄數位學堂,2023-01-01 ~ 2023-01-31,5.0,5,49,1,負責人Demi服務很棒 態度很親切 讚讚:),2023-01-31,3,,正面:5 ,正面:2 中性:1 ,無負向
23,49,林口數位學堂,2023-01-01 ~ 2023-01-31,5.0,5,133,0,-,-,3,,正面:5 ,,無負向
