,品牌,時間,來源,當期聲量,前期聲量(MoM),前年聲量(YoY),推文數,噓文數,留言數,聲量最多文章標題,聲量最多文章時間,聲量最多文章看板,聲量最多正向文章標題,聲量最多正向文章情緒,聲量最多負向文章標題,聲量最多負向文章情緒,聲量最多中性文章標題,聲量最多中性文章情緒,當期情緒,前期情緒(MoM),前年情緒(YoY),負評偵測
0,大碩,2023-01-01 ~ 2023-01-31,PTT,2,1,3,16.0,0.0,32.0,Re: [考試] 想考電機技師，請問有推薦的老師嗎?,2023-01-20,Gov_owned,Re: [考試] 想考電機技師，請問有推薦的老師嗎?,中性:6 正面:1 ,-,-,[心得] 112學年 台大化工推甄口試正取,中性:1 ,正面:1 負面:0 中性:7,正面:1 負面:1 中性:7,正面:2 負面:4 中性:26,無負向
1,偉文,2023-01-01 ~ 2023-01-31,PTT,0,0,0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
2,高點,2023-01-01 ~ 2023-01-31,PTT,9,17,25,15.0,0.0,20.0,[心得] 111 年律師上榜心得（智財組）,2023-01-11,Examination,［資訊］登峰美語趙御筌-口說卓越班開課ing ,中性:15 正面:1 ,[心得] 111 年律師上榜心得（智財組）,中性:34 負面:15 正面:3 ,[贈送] 高點國營資訊人員用書,中性:1 ,正面:4 負面:15 中性:81,正面:139 負面:107 中性:326,正面:118 負面:97 中性:443,無負向
3,TKB數位學堂,2023-01-01 ~ 2023-01-31,PTT,0,0,1,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,正面:4 負面:3 中性:7,-
4,志光,2023-01-01 ~ 2023-01-31,PTT,9,8,22,20.0,0.0,27.0,[心得] 111年郵局內勤櫃台 心得,2023-01-13,Gov_owned,高考二級-農業技術,中性:6 正面:3 ,[心得] 111年郵局內勤櫃台 心得,中性:30 負面:7 正面:5 ,[贈送] 高點國營資訊人員用書,中性:1 ,正面:8 負面:7 中性:50,正面:37 負面:36 中性:65,正面:126 負面:125 中性:428,無負向
5,百官網,2023-01-01 ~ 2023-01-31,PTT,0,1,0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,正面:2 負面:4 中性:4,-,-
6,洋碩,2023-01-01 ~ 2023-01-31,PTT,3,2,0,0.0,0.0,0.0,[資訊] 洋碩美語2023春季班開課-全方位英文培訓,2023-01-13,TOEIC,[資訊] 洋碩美語2023春季班開課-全方位英文培訓,正面:2 ,-,-,-,-,正面:3 負面:0 中性:0,正面:0 負面:0 中性:2,-,無負向
7,巨匠,2023-01-01 ~ 2023-01-31,PTT,0,0,0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
8,放洋,2023-01-01 ~ 2023-01-31,PTT,0,0,0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
9,甄戰,2023-01-01 ~ 2023-01-31,PTT,0,0,0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
10,樂學網,2023-01-01 ~ 2023-01-31,PTT,0,0,0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
11,龍門,2023-01-01 ~ 2023-01-31,PTT,2,0,0,2.0,0.0,2.0,[其他] 贈書 龍門經濟學&微積分,2023-01-14,Transfer,-,-,-,-,[其他] 贈書 龍門經濟學&微積分,中性:1 ,正面:0 負面:0 中性:3,-,-,無負向
12,留學家,2023-01-01 ~ 2023-01-31,PTT,0,0,0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
